Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Tweet Count
2019-01-01,RLCUSDT,3692.35,3840.85,3577.18,3823.63,3155.16,11667756.02,20625
2019-01-02,RLCUSDT,3823.63,3911.99,3763.85,3890.45,3924.91,14998960.25,25778
2019-01-03,RLCUSDT,3890.45,3894.17,3760.1,3786.91,4061.88,15562412.03,31982
2019-01-04,RLCUSDT,3786.91,3850.3,3732.15,3821.47,2284.54,8642529.67,25433
2019-01-05,RLCUSDT,3821.47,3859.5,3780,3797.41,1675.11,6408581.55,20714
2019-01-06,RLCUSDT,3797.41,4079.04,3756.79,4041.01,2511.72,9969787.14,22299
2019-01-07,RLCUSDT,4041.01,4069.96,3968.45,4007.47,3933.14,15810876.36,27297
2019-01-08,RLCUSDT,4007.47,4112.12,3950,3992.24,4900.54,19684370.31,25616
2019-01-09,RLCUSDT,3992.24,4044.82,3964.92,4000.67,3008.22,12062995.27,27021
2019-01-10,RLCUSDT,4000.67,4034.61,3566,3626.76,6903.93,25909780.72,27739
2019-01-11,RLCUSDT,3626.76,3695,3577.01,3637.28,3371.77,12260715.27,25528
2019-01-12,RLCUSDT,3637.28,3650,3561.5,3618.82,1264.18,4580598.24,20807
2019-01-13,RLCUSDT,3618.82,3644.54,3484.33,3514.08,2279.28,8111864.88,21313
2019-01-14,RLCUSDT,3514.08,3713.16,3506.84,3662.89,2851.17,10353404.07,26590
2019-01-15,RLCUSDT,3662.89,3682.59,3541,3583.47,3977.73,14425790.25,25321
2019-01-16,RLCUSDT,3583.47,3663.58,3571.47,3604.57,4990.66,17998353.02,24952
2019-01-17,RLCUSDT,3604.57,3657.79,3545.43,3641.4,2307.73,8325788.11,26293
2019-01-18,RLCUSDT,3641.4,3643.69,3577.28,3608,1627.9,5884005.16,26957
2019-01-19,RLCUSDT,3608,3760,3608,3687,2227.89,8268829.89,23116
2019-01-20,RLCUSDT,3687,3702.09,3474,3533.49,2149.91,7639957.2,21180
2019-01-21,RLCUSDT,3533.49,3568.78,3487.29,3532.25,1434.75,5070847.23,25676
2019-01-22,RLCUSDT,3532.25,3611.63,3423.74,3577.24,2338.86,8284757.87,24991
2019-01-23,RLCUSDT,3577.24,3611.57,3523.34,3553.02,2039.5,7268650.49,27959
2019-01-24,RLCUSDT,3553.02,3596.65,3528.54,3570.25,1189.5,4234595.46,26726
2019-01-25,RLCUSDT,3570.25,3578,3510,3561,2499.51,8878335.74,25173
2019-01-26,RLCUSDT,3561,3659.38,3540.12,3558.19,1176.79,4211645.01,21826
2019-01-27,RLCUSDT,3558.19,3563.54,3472.94,3529.63,706.13,2489699.92,20047
2019-01-28,RLCUSDT,3529.63,3535.18,3369.99,3429.7,4140.79,14214006.37,26849
2019-01-29,RLCUSDT,3429.7,3437.93,3321,3395.49,4105.75,13930725.13,32615
2019-01-30,RLCUSDT,3395.49,3459.5,3372.28,3436.11,3163.47,10840415.6,26581
2019-01-31,RLCUSDT,3436.11,3472,3394.43,3412.1,2776.44,9495071.14,26704
2019-02-01,RLCUSDT,3412.1,3458.18,3370.61,3441.87,2800.61,9580957.96,24373
2019-02-02,RLCUSDT,3441.87,3484.99,3412.18,3469.06,691.13,2379749.27,19593
2019-02-03,RLCUSDT,3469.06,3471.42,3390,3415.99,787.11,2695560.12,19469
2019-02-04,RLCUSDT,3415.99,3435,3397,3411.47,1112.92,3801923.68,25788
2019-02-05,RLCUSDT,3411.47,3430,3401.84,3429.98,1335.65,4569082.06,26917
2019-02-06,RLCUSDT,3429.98,3445.22,3331.44,3366.83,2077.12,7000869.02,29542
2019-02-07,RLCUSDT,3366.83,3380,3352.29,3359.99,1274.83,4288604.06,27433
2019-02-08,RLCUSDT,3359.99,3711.26,3343.84,3622.59,5701.16,20153424.89,27880
2019-02-09,RLCUSDT,3622.59,3638.94,3595.01,3624.11,1614.39,5836310.55,21367
2019-02-10,RLCUSDT,3624.11,3655.04,3580.17,3647.21,987.24,3565812.48,20126
